Trace
Swept SA
A.24.56,N9000B
359995552.485947,-68.4709130648909
359995618.243947,-67.2826747675052
359995684.001947,-67.0811703999837
359995749.759947,-68.6339735272287
359995815.517947,-68.4350146589608
359995881.275947,-68.7838488611682
359995947.033947,-68.0821034223184
359996012.791947,-67.7758587804333
359996078.549947,-68.3489555709664
359996144.307947,-67.5941102038855
359996210.065947,-67.9305908816984
359996275.823947,-67.8045935795225
359996341.581947,-68.0475050389082
359996407.339947,-67.6168711432096
359996473.097947,-67.4320443252038
359996538.855947,-67.4481899656098
359996604.613947,-68.165730399647
359996670.371947,-67.5563607051455
359996736.129947,-68.0825776724979
359996801.887947,-67.6758948578232
359996867.645947,-66.6731969460674
359996933.403947,-66.7349980672201
359996999.161947,-67.6238828637134
359997064.919947,-67.9149420288787
359997130.677947,-67.7187740282081
359997196.435947,-66.394824762454
359997262.193947,-67.0261125674193
359997327.951947,-67.7643242759266
359997393.709947,-67.1887466167581
359997459.467947,-67.2981096026541
359997525.225947,-67.683706831658
359997590.983947,-66.7548757092706
359997656.741947,-66.3125588428016
359997722.499947,-66.3624001864729
359997788.257947,-66.2791832671768
359997854.015947,-66.5929904367731
359997919.773947,-67.0017827790359
359997985.531947,-65.8829168122391
359998051.289947,-65.7133413731367
359998117.047947,-65.8641955934722
359998182.805947,-66.2715182688044
359998248.563947,-66.2788781352427
359998314.321947,-65.7955377951436
359998380.079947,-65.014546887628
359998445.837947,-66.2874313442186
359998511.595947,-66.5835280144352
359998577.353947,-66.1204006589693
359998643.111947,-65.8663616838126
359998708.869947,-65.8256584693645
359998774.627947,-65.2875576238523
359998840.385947,-64.9216847474547
359998906.143947,-65.5155383581403
359998971.901947,-64.4972598196446
359999037.659947,-65.3274211664309
359999103.417947,-64.8181278623384
359999169.175947,-64.6215763311276
359999234.933947,-65.1549608077126
359999300.691947,-65.2294772356406
359999366.449947,-64.6102461540836
359999432.207947,-64.0639126218598
359999497.965947,-64.5655075160936
359999563.723947,-65.9356665337223
359999629.481947,-64.9669840144015
359999695.239947,-64.3569757308083
359999760.997947,-64.3754749078861
359999826.755947,-65.9502586715522
359999892.513947,-65.0945494640832
359999958.271947,-64.6099418990914
360000024.029947,-64.5742443567035
360000089.787947,-64.3185968070195
360000155.545947,-64.3344867750146
360000221.303947,-64.1407676346001
360000287.061947,-63.874651108665
360000352.819947,-64.1629411105452
360000418.577947,-63.674212576329
360000484.335947,-64.135220670152
360000550.093947,-63.0836617480749
360000615.851947,-62.9877076423031
360000681.609947,-63.1764224260703
360000747.367947,-63.4418583135495
360000813.125947,-63.0864645859291
360000878.883947,-63.231642843663
360000944.641947,-63.650467708193
360001010.399947,-62.6306233899347
360001076.157947,-60.5855991758149
360001141.915947,-61.5177009407131
360001207.673947,-62.8880620934497
360001273.431947,-62.3881407551382
360001339.189947,-61.6232627780958
360001404.947947,-61.5698654350193
360001470.705947,-61.488714634687
360001536.463947,-61.0881446312214
360001602.221947,-61.5790791566345
360001667.979947,-61.6307412509261
360001733.737947,-61.5648092072586
360001799.495947,-60.7406335151058
360001865.253947,-61.6747372506679
360001931.011947,-60.8011681567663
360001996.769947,-59.6542505724677
360002062.527947,-59.0923151038159
360002128.285947,-58.7521614863955
360002194.043947,-58.7043551302504
360002259.801947,-58.7241107896827
360002325.559947,-58.7213531143364
360002391.317947,-58.7274880683285
360002457.075947,-57.7765481883082
360002522.833947,-57.7486351714737
360002588.591947,-58.6566362052128
360002654.349947,-58.4325337903253
360002720.107947,-58.6168712309037
360002785.865947,-58.6055829278354
360002851.623947,-58.6620169453237
360002917.381947,-57.5200301860941
360002983.139947,-57.9426779472965
360003048.897947,-57.9071613180226
360003114.655947,-59.0794901793031
360003180.413947,-59.2101425083204
360003246.171947,-59.1886409014121
360003311.929947,-58.8986902346556
360003377.687947,-59.6205439074286
360003443.445947,-59.7614726801028
360003509.203947,-59.6526325269677
360003574.961947,-59.0639127534011
360003640.719947,-59.1574290922318
360003706.477947,-59.6235495380972
360003772.235947,-59.2432996377178
360003837.993947,-60.1501608662222
360003903.751947,-59.6421132142516
360003969.509947,-59.2325979649335
360004035.267947,-59.9586688513043
360004101.025947,-59.6306559683263
360004166.783947,-59.5673538734173
360004232.541947,-60.0065517644773
360004298.299947,-59.4866616698517
360004364.057947,-59.8406714516125
360004429.815947,-60.6377660817113
360004495.573947,-59.7507881076857
360004561.331947,-59.8330159680597
360004627.089947,-59.8954771633806
360004692.847947,-59.1812821311512
360004758.605947,-58.5757890898606
360004824.363947,-59.576890441193
360004890.121947,-60.2937392311535
360004955.879947,-59.0157969683066
360005021.637947,-58.2321331418794
360005087.395947,-58.2659892378182
360005153.153947,-58.0289258847291
360005218.911947,-58.6059420355435
360005284.669947,-58.6767210686344
360005350.427947,-57.7233207965719
360005416.185947,-56.7082797960303
360005481.943947,-56.9277827821929
360005547.701947,-55.8021865932421
360005613.459947,-56.0455453368439
360005679.217947,-56.3767862429564
360005744.975947,-55.581524509123
360005810.733947,-54.8469030007549
360005876.491947,-54.2416548454899
360005942.249947,-54.6506177967992
360006008.007947,-54.4850353372508
360006073.765947,-54.5131406235969
360006139.523947,-54.7046349624108
360006205.281947,-55.0464936179676
360006271.039947,-54.8742868708468
360006336.797947,-55.4240613038512
360006402.555947,-55.5586002832172
360006468.313947,-54.5375207922924
360006534.071947,-54.5772983945649
360006599.829947,-55.2036552429199
360006665.587947,-55.430709312702
360006731.345947,-55.9516864206599
360006797.103947,-55.5850253050355
360006862.861947,-55.2373211740077
360006928.619947,-55.0262431440682
360006994.377947,-55.1049775309946
360007060.135947,-54.6092623129658
360007125.893947,-54.2288844667632
360007191.651947,-54.21376243679
360007257.409947,-54.4566202711785
360007323.167947,-54.8422604264884
360007388.925947,-54.0391392324163
360007454.683947,-53.5270875075768
360007520.441947,-52.886162637294
360007586.199947,-53.4005477291414
360007651.957947,-53.0907036353802
360007717.715947,-53.5744384677931
360007783.473947,-53.3687596814386
360007849.231947,-53.1915371335786
360007914.989947,-52.8565273065677
360007980.747947,-52.511400288549
360008046.505947,-51.7042216596932
360008112.263947,-51.7721677758228
360008178.021947,-50.8168720376903
360008243.779947,-50.0750404884075
360008309.537947,-49.1824400890833
360008375.295947,-48.2568464169557
360008441.053947,-46.6877078352304
360008506.811947,-45.4946661762808
360008572.569947,-44.3381532910227
360008638.327947,-43.4447220769422
360008704.085947,-42.1353211676938
360008769.843947,-41.9152756614247
360008835.601947,-40.4517721855777
360008901.359947,-38.0491279295121
360008967.117947,-36.7961600950395
360009032.875947,-35.6851645941022
360009098.633947,-34.6701659717779
360009164.391947,-34.3634530429182
360009230.149947,-33.5935165580662
360009295.907947,-33.1239253515485
360009361.665947,-32.4242139136654
360009427.423947,-32.2924656484319
360009493.181947,-32.833081409849
360009558.939947,-32.2404851803834
360009624.697947,-32.5468799327982
360009690.455947,-33.1079217538066
360009756.213947,-34.4022011811706
360009821.971947,-35.3229180916972
360009887.729947,-35.7730422842092
360009953.487947,-36.5726712763995
360010019.245947,-38.3962448163964
360010085.003947,-39.8868959580345
360010150.761947,-41.238545450671
360010216.519947,-42.1135426663804
360010282.277947,-43.2617179826758
360010348.035947,-45.1090726304328
360010413.793947,-46.3872389080881
360010479.551947,-47.2116072862998
360010545.309947,-47.5713360227387
360010611.067947,-47.5078959848689
360010676.825947,-48.0710678100586
360010742.583947,-50.0428224760911
360010808.341947,-51.4620980887577
360010874.099947,-51.2825544510765
360010939.857947,-51.5723885722544
360011005.615947,-51.8951414261741
360011071.373947,-51.429810271866
360011137.131947,-52.3514752442809
360011202.889947,-52.1209186247025
360011268.647947,-52.8963403372929
360011334.405947,-52.2243711537328
360011400.163947,-52.8899832977646
360011465.921947,-53.1353654971068
360011531.679947,-53.1316597598723
360011597.437947,-53.2326096282608
360011663.195947,-53.8771138684503
360011728.953947,-54.69195083092
360011794.711947,-54.51821040011
360011860.469947,-54.7375009909443
360011926.227947,-55.2759117915713
360011991.985947,-54.8578228566838
360012057.743947,-54.9690923581178
360012123.501947,-54.9781769938853
360012189.259947,-55.9405671481428
360012255.017947,-54.9980399033119
360012320.775947,-54.2985097073961
360012386.533947,-54.5435615188774
360012452.291947,-54.5541585724929
360012518.049947,-53.5895230085
360012583.807947,-52.9963093023191
360012649.565947,-53.721091259485
360012715.323947,-53.9459406973302
360012781.081947,-53.7239784153028
360012846.839947,-53.7078872768358
360012912.597947,-54.206435894144
360012978.355947,-54.4832989484414
360013044.113947,-55.3956876294366
360013109.871947,-55.8762806421039
360013175.629947,-56.422913386904
360013241.387947,-55.9832485242822
360013307.145947,-55.2064112520766
360013372.903947,-55.474062031713
360013438.661947,-56.3230099294377
360013504.419947,-56.6461357905947
360013570.177947,-56.4417027002093
360013635.935947,-57.8248118258071
360013701.693947,-58.3668758786958
360013767.451947,-58.3583673937567
360013833.209947,-58.5483814984903
360013898.967947,-58.5803523447322
360013964.725947,-59.1927686669361
360014030.483947,-58.87231769781
360014096.241947,-58.9454499606428
360014161.999947,-59.5421575787424
360014227.757947,-59.4926898123204
360014293.515947,-59.2488743135299
360014359.273947,-59.5165677563897
360014425.031947,-58.5756062474744
360014490.789947,-58.7041604929957
360014556.547947,-59.1888648723734
360014622.305947,-60.441322238966
360014688.063947,-58.9335052665623
360014753.821947,-58.9998642493939
360014819.579947,-58.8477434180249
360014885.337947,-58.9799611760282
360014951.095947,-58.8964781048654
360015016.853947,-58.2439236257268
360015082.611947,-58.5926938988697
360015148.369947,-59.7167791169265
360015214.127947,-59.3241113684643
360015279.885947,-59.469587654903
360015345.643947,-59.1701698741694
360015411.401947,-58.4763793068371
360015477.159947,-59.2161138688011
360015542.917947,-58.9302102889138
360015608.675947,-58.6078202258581
360015674.433947,-59.2199278206661
360015740.191947,-59.2222608807443
360015805.949947,-58.2280721554811
360015871.707947,-58.3589901102
360015937.465947,-57.5794367735413
360016003.223947,-58.010966947709
360016068.981947,-57.9819147394991
360016134.739947,-57.8476109559509
360016200.497947,-57.6523581756943
360016266.255947,-57.6145626813516
360016332.013947,-57.4857218512173
360016397.771947,-57.9824284520642
